"index","painting index","image source","title","season","episode","number of colors","youtube source","colors","color hex","black gesso","bright red","burnt umber","cadmium yellow","dark sienna","indian red","indian yellow","liquid black","liquid clear","midnight black","phthalo blue","phthalo green","prussian blue","sap green","titanium white","van dyke brown","yellow ochre","alizarin crimson"
"1","282","https://www.twoinchbrush.com/images/painting282.png","a walk in the woods","1","1","8","https://www.youtube.com/embed/oh5p5f5_-7a","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"2","283","https://www.twoinchbrush.com/images/painting283.png","mt. mckinley","1","2","8","https://www.youtube.com/embed/rindwhycelu","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"3","284","https://www.twoinchbrush.com/images/painting284.png","ebony sunset","1","3","9","https://www.youtube.com/embed/uozir7povco","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#000000', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","1","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"4","285","https://www.twoinchbrush.com/images/painting285.png","winter mist","1","4","3","https://www.youtube.com/embed/0pwoixrikn4","['prussian blue', 'titanium white', 'van dyke brown']","['#021e44', '#ffffff', '#221b15']","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0"
"5","286","https://www.twoinchbrush.com/images/painting286.png","quiet stream","1","5","8","https://www.youtube.com/embed/dfsiqnjkrfk","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"6","287","https://www.twoinchbrush.com/images/painting287.png","winter moon","1","6","4","https://www.youtube.com/embed/loazruzx1wi","['black gesso', 'prussian blue', 'titanium white', 'van dyke brown']","['#000000', '#021e44', '#ffffff', '#221b15']","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0"
"7","288","https://www.twoinchbrush.com/images/painting288.png","autumn mountain","1","7","8","https://www.youtube.com/embed/sddpc8uisd0","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"8","289","https://www.twoinchbrush.com/images/painting289.png","peaceful valley","1","8","8","https://www.youtube.com/embed/kqlfwtokyzg","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"9","290","https://www.twoinchbrush.com/images/painting290.png","seascape","1","9","8","https://www.youtube.com/embed/qxcs7p1vhyq","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"10","291","https://www.twoinchbrush.com/images/painting291.png","mountain lake","1","10","8","https://www.youtube.com/embed/wdnllywal5i","['alizarin crimson', 'bright red', 'cadmium yellow', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1"
